"Home Team (2023) (901)","Away Team (2023) (901)","Game Time (2023) (901)","Season Type (2023) (901)","Normalized Ranking Delta (Calculated)","Field Goal % Delta (Calculated)","eFG% Delta (Calculated)","Turnover Ratio Delta (Calculated)","PPP Delta (Calculated)","Team (2023) (900)","Field Goal % Home (Calculated)","eFG% Home (Calculated)","Turnover Ratio Home (Calculated)","PPP Home (Calculated)","Team (2023) (904)","Field Goal % Away (Calculated)","eFG % Away (Calculated)","Turnover Ratio Away (Calculated)","PPP Away (Calculated)"
"Los Angeles Lakers","Sacramento Kings","Thu, 12 Oct 2023 02:00:00 GMT","Preseason",0.1005805119130142,0.02229228212081852,0.010801626929918484,0.004569091581012999,0.046789550480908056,"Los Angeles Lakers",0.49888517279821626,0.5664018952062431,0.1016354060796452,0.07017528518273994,"Sacramento Kings",0.47659289067739774,0.5556002682763246,0.0970663144986322,0.023385734701831883
"Philadelphia 76ers","Boston Celtics","Wed, 11 Oct 2023 23:00:00 GMT","Preseason",0.03710364424033874,-0.022555243190732488,-0.04623050509925508,-0.00016261216868093675,-0.03667417454146482,"Philadelphia 76ers",0.4643295594052653,0.5319874505524486,0.08884615384615385,0.08280291149972106,"Boston Celtics",0.4868848025959978,0.5782179556517036,0.08900876601483479,0.11947708604118588
"Atlanta Hawks","Memphis Grizzlies","Thu, 12 Oct 2023 23:30:00 GMT","Preseason",-0.1646828016089097,0.030153838807606637,0.029878462074849232,-0.017194651724675714,-0.9356856934846705,"Atlanta Hawks",0.4651469231782844,0.5389379364870207,0.09846847693319553,0.012239075569961087,"Memphis Grizzlies",0.43499308437067774,0.5090594744121715,0.11566312865787125,0.9479247690546315
"Detroit Pistons","Oklahoma City Thunder","Thu, 12 Oct 2023 23:00:00 GMT","Preseason",0.1981782400758222,-0.03581075496656011,-0.047663290946023285,0.02520747753733653,0.8600287230885386,"Detroit Pistons",0.46296040833218377,0.5255207614843427,0.11685524775653532,0.976592977893368,"Oklahoma City Thunder",0.4987711632987439,0.573184052430366,0.09164777021919879,0.11656425480482932
"Chicago Bulls","Denver Nuggets","Fri, 13 Oct 2023 00:00:00 GMT","Preseason",0.014267960344706565,-0.0261284691007011,-0.027824659937711993,0.0011802925279220527,-0.11228524134291552,"Chicago Bulls",0.4698187764000545,0.5339283281100967,0.09379594236989121,0.024509695682319015,"Denver Nuggets",0.4959472455007556,0.5617529880478087,0.09261564984196916,0.13679493702523454
"Portland Trail Blazers","Phoenix Suns","Fri, 13 Oct 2023 02:00:00 GMT","Preseason",0.2519426976355642,-0.05430214144323864,-0.06268397019075655,0.007937158481934561,0.9066061976525637,"Portland Trail Blazers",0.438689505165851,0.5025149537792278,0.11946634323832626,0.9401543569180355,"Phoenix Suns",0.4929916466090896,0.5651989239699844,0.1115291847563917,0.03354815926547188
"Washington Wizards","Charlotte Hornets","Thu, 12 Oct 2023 23:00:00 GMT","Preseason",0.02513320745955172,0.010197395507361595,0.0086016073060311,-0.0034376771443336562,0.023976005434772962,"Washington Wizards",0.4701721606833044,0.5379020419057787,0.10399700458672657,0.9993485537464588,"Charlotte Hornets",0.4599747651759428,0.5293004345997476,0.10743468173106023,0.9753725483116858
"Cleveland Cavaliers","Orlando Magic","Thu, 12 Oct 2023 23:00:00 GMT","Preseason",0.1238361374347472,0.0031370572141780073,0.015042871345910536,-0.00942056728216134,0.054280417747692614,"Cleveland Cavaliers",0.47985450475657526,0.5570089535534415,0.10193185127657509,0.12109819596175045,"Orlando Magic",0.47671744754239725,0.541966082207531,0.11135241855873643,0.06681777821405784
"Houston Rockets","New Orleans Pelicans","Fri, 13 Oct 2023 00:00:00 GMT","Preseason",0.2944202104040917,-0.0270757835319706,-0.028548940301421744,-0.0023157830522576306,0.9445628599873314,"Houston Rockets",0.4591768333556777,0.529092371631586,0.09560649474689589,1.0077351059438635,"New Orleans Pelicans",0.4862526168876483,0.5576413119330077,0.09792227779915352,0.06317224595653216
"San Antonio Spurs","Miami Heat","Fri, 13 Oct 2023 23:30:00 GMT","Preseason",0.25735344324380505,-0.002764308408109206,-0.005874490516166064,0.017040509162707232,0.9060218411123274,"San Antonio Spurs",0.4623453469607316,0.5320064550833782,0.11224585402417314,0.9830794032250477,"Miami Heat",0.4651096553688408,0.5378809455995442,0.09520534486146591,0.0770575621127203
"Los Angeles Lakers","Golden State Warriors","Sat, 14 Oct 2023 02:00:00 GMT","Preseason",0.13122635611699274,0.02244120154455642,0.009375012054792409,-0.004524117054047677,0.060133751691021003,"Los Angeles Lakers",0.49888517279821626,0.5664018952062431,0.1016354060796452,0.07017528518273994,"Golden State Warriors",0.47644397125365984,0.5570268831514507,0.10615952313369288,0.010041533491718938
"New York Knicks","Minnesota Timberwolves","Sat, 14 Oct 2023 23:30:00 GMT","Preseason",0.08723049092164736,-0.01918307319260687,-0.019002477981606702,-0.006142148106845838,0.038004001181320954,"New York Knicks",0.4659043945447031,0.5404325664692107,0.10048946159224853,0.1578245176909246,"Minnesota Timberwolves",0.48508746773731,0.5594350444508174,0.10663160969909437,0.11982051650960364
"Utah Jazz","Portland Trail Blazers","Sun, 15 Oct 2023 01:00:00 GMT","Preseason",0.05499986935486012,0.028411295268282788,0.036489251891644536,-0.0019993449601552332,0.06724713357729506,"Utah Jazz",0.46710080043413377,0.5390042056708724,0.11746699827817103,1.0074014904953306,"Portland Trail Blazers",0.438689505165851,0.5025149537792278,0.11946634323832626,0.9401543569180355
"Atlanta Hawks","New Orleans Pelicans","Sat, 14 Oct 2023 19:30:00 GMT","Preseason",0.047900922023917825,-0.021105693709363937,-0.01870337544598699,0.0005461991340420108,-0.050933170386571074,"Atlanta Hawks",0.4651469231782844,0.5389379364870207,0.09846847693319553,0.012239075569961087,"New Orleans Pelicans",0.4862526168876483,0.5576413119330077,0.09792227779915352,0.06317224595653216
"Miami Heat","Memphis Grizzlies","Sun, 15 Oct 2023 22:00:00 GMT","Preseason",-0.14134637160311403,0.03011657099816306,0.02882147118737277,-0.020457783796405338,-0.8708672069419112,"Miami Heat",0.4651096553688408,0.5378809455995442,0.09520534486146591,0.0770575621127203,"Memphis Grizzlies",0.43499308437067774,0.5090594744121715,0.11566312865787125,0.9479247690546315
"Charlotte Hornets","Oklahoma City Thunder","Sun, 15 Oct 2023 21:00:00 GMT","Preseason",0.21470475707608883,-0.03879639812280106,-0.04388361783061834,0.015786911511861443,0.8588082935068565,"Charlotte Hornets",0.4599747651759428,0.5293004345997476,0.10743468173106023,0.9753725483116858,"Oklahoma City Thunder",0.4987711632987439,0.573184052430366,0.09164777021919879,0.11656425480482932
"Sacramento Kings","Golden State Warriors","Mon, 16 Oct 2023 01:30:00 GMT","Preseason",0.11425226120059118,0.00014891942373790323,-0.0014266148751260754,-0.009093208635060676,0.013344201210112944,"Sacramento Kings",0.47659289067739774,0.5556002682763246,0.0970663144986322,0.023385734701831883,"Golden State Warriors",0.47644397125365984,0.5570268831514507,0.10615952313369288,0.010041533491718938
"Denver Nuggets","Chicago Bulls","Mon, 16 Oct 2023 01:00:00 GMT","Preseason",0.12837550710876544,0.0261284691007011,0.027824659937711993,-0.0011802925279220527,0.11228524134291552,"Denver Nuggets",0.4959472455007556,0.5617529880478087,0.09261564984196916,0.13679493702523454,"Chicago Bulls",0.4698187764000545,0.5339283281100967,0.09379594236989121,0.024509695682319015
"Los Angeles Lakers","Milwaukee Bucks","Sun, 15 Oct 2023 23:00:00 GMT","Preseason",0.0724195237045373,0.011423062023898256,-0.0011787055102077115,0.0060790136864989075,-0.002180605090263979,"Los Angeles Lakers",0.49888517279821626,0.5664018952062431,0.1016354060796452,0.07017528518273994,"Milwaukee Bucks",0.487462110774318,0.5675806007164508,0.0955563923931463,0.07235589027300392
