"Name () (71c)","Pos () (71c)","Team () (71c)","Injury () (71d)","Return Date () (71d)","Date Injured () (71d)"
"Rudy Gobert","C","Minnesota Timberwolves",,,
"Naz Reid","C","Minnesota Timberwolves",,,
"Julius Randle","C","Minnesota Timberwolves",,,
"Luka Garza","C","Minnesota Timberwolves","Ankle","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Jesse Edwards","C","Minnesota Timberwolves",,,
"Julius Randle","PF","Minnesota Timberwolves",,,
"Naz Reid","PF","Minnesota Timberwolves",,,
"Joe Ingles","PF","Minnesota Timberwolves","Calf","Expected To Be Out Until At Least Dec 27","2024-12-24"
"PJ Dozier","PF","Minnesota Timberwolves",,,
"Jaden McDaniels","PF","Minnesota Timberwolves",,,
"Mike Conley","PG","Minnesota Timberwolves",,,
"Donte DiVincenzo","PG","Minnesota Timberwolves",,,
"Robert Dillingham","PG","Minnesota Timberwolves",,,
"Anthony Edwards","PG","Minnesota Timberwolves",,,
"Daishen Nix","PG","Minnesota Timberwolves","Ankle","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Jaden McDaniels","SF","Minnesota Timberwolves",,,
"Josh Minott","SF","Minnesota Timberwolves",,,
"Nickeil Alexander-Walker","SF","Minnesota Timberwolves",,,
"Donte DiVincenzo","SF","Minnesota Timberwolves",,,
"Joe Ingles","SF","Minnesota Timberwolves","Calf","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Terrence Shannon Jr.","SF","Minnesota Timberwolves",,,
"PJ Dozier","SF","Minnesota Timberwolves",,,
"Anthony Edwards","SF","Minnesota Timberwolves",,,
"Jaylen Clark","SF","Minnesota Timberwolves",,,
"Anthony Edwards","SG","Minnesota Timberwolves",,,
"Nickeil Alexander-Walker","SG","Minnesota Timberwolves",,,
"Donte DiVincenzo","SG","Minnesota Timberwolves",,,
"Joe Ingles","SG","Minnesota Timberwolves","Calf","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Terrence Shannon Jr.","SG","Minnesota Timberwolves",,,
"Josh Minott","SG","Minnesota Timberwolves",,,
"PJ Dozier","SG","Minnesota Timberwolves",,,
"Jaylen Clark","SG","Minnesota Timberwolves",,,
"Daishen Nix","SG","Minnesota Timberwolves","Ankle","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Myles Turner","C","Indiana Pacers","Oblique","Probable","2024-12-25"
"Thomas Bryant","C","Indiana Pacers",,,
"Obi Toppin","C","Indiana Pacers",,,
"Enrique Freeman","C","Indiana Pacers",,,
"Pascal Siakam","C","Indiana Pacers",,,
"James Johnson","C","Indiana Pacers",,,
"Jarace Walker","C","Indiana Pacers",,,
"Isaiah Jackson","C","Indiana Pacers","Achilles","Out For The Season","2024-11-2"
"James Wiseman","C","Indiana Pacers","Achilles","Out For The Season","2024-10-24"
"Pascal Siakam","PF","Indiana Pacers",,,
"Obi Toppin","PF","Indiana Pacers",,,
"Jarace Walker","PF","Indiana Pacers",,,
"Enrique Freeman","PF","Indiana Pacers",,,
"James Johnson","PF","Indiana Pacers",,,
"Aaron Nesmith","PF","Indiana Pacers","Ankle","Expected To Be Out Until At Least Jan 2","2024-12-24"
"Tyrese Haliburton","PG","Indiana Pacers",,,
"T.J. McConnell","PG","Indiana Pacers",,,
"Andrew Nembhard","PG","Indiana Pacers",,,
"Tristen Newton","PG","Indiana Pacers",,,
"Quenton Jackson","PG","Indiana Pacers",,,
"Ben Sheppard","PG","Indiana Pacers",,,
"Bennedict Mathurin","SF","Indiana Pacers",,,
"Jarace Walker","SF","Indiana Pacers",,,
"Johnny Furphy","SF","Indiana Pacers",,,
"Ben Sheppard","SF","Indiana Pacers",,,
"Pascal Siakam","SF","Indiana Pacers",,,
"Quenton Jackson","SF","Indiana Pacers",,,
"Aaron Nesmith","SF","Indiana Pacers","Ankle","Expected To Be Out Until At Least Jan 2","2024-12-24"
"Andrew Nembhard","SG","Indiana Pacers",,,
"Ben Sheppard","SG","Indiana Pacers",,,
"Johnny Furphy","SG","Indiana Pacers",,,
"Bennedict Mathurin","SG","Indiana Pacers",,,
"Quenton Jackson","SG","Indiana Pacers",,,
"Tristen Newton","SG","Indiana Pacers",,,
"Tyrese Haliburton","SG","Indiana Pacers",,,
"Aaron Nesmith","SG","Indiana Pacers","Ankle","Expected To Be Out Until At Least Jan 2","2024-12-24"
"Walker Kessler","C","Utah Jazz",,,
"Kyle Filipowski","C","Utah Jazz",,,
"Drew Eubanks","C","Utah Jazz",,,
"John Collins","C","Utah Jazz","Hip","Probable","2024-12-24"
"Oscar Tshiebwe","C","Utah Jazz",,,
"Micah Potter","C","Utah Jazz",,,
"Taylor Hendricks","C","Utah Jazz","Lower Leg","Out For The Season","2024-11-1"
"John Collins","PF","Utah Jazz","Hip","Probable","2024-12-24"
